"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.claude\settings.json", "JSON with Comments", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\AGENTS.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\CLAUDE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\README.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 20, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app.json", "JSON with Comments", 48, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 4, 50
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 307, 2, 23, 332
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 220, 0, 15, 235
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 301, 2, 24, 327
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 2, 10, 102
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 7, 61
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-debt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 204, 5, 17, 226
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-group-debt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 194, 5, 19, 218
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-individual.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 12, 155
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\create-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 151, 0, 15, 166
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\edit-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 195, 0, 19, 214
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\edit-individual.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 14, 159
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\group\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 264, 0, 21, 285
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\individual\[id].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 217, 0, 17, 234
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\account.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 10, 101
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\contacts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 8, 59
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\payment-apps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 8, 84
