"filename", "language", "Dotenv", "TypeScript JSX", "MS SQL", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.env", "Dotenv", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 2, 8
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 1, 2, 42
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 2, 1, 16
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-group-debt.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-individual.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\_layout.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 2, 5, 17
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\login.tsx", "TypeScript JSX", 0, 187, 0, 0, 0, 5, 14, 206
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\signup.tsx", "TypeScript JSX", 0, 253, 0, 0, 0, 6, 16, 275
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\create-group.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\group\[id].tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\individual\[id].tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
