"filename", "language", "Dotenv", "JSON with Comments", "TypeScript JSX", "MS SQL", "JSON", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.claude\settings.json", "JSON with Comments", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.env", "Dotenv", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 20, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app.json", "JSON with Comments", 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 2, 6, 58
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx", "TypeScript JSX", 0, 0, 309, 0, 0, 0, 0, 0, 2, 23, 334
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 220, 0, 0, 0, 0, 0, 0, 17, 237
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx", "TypeScript JSX", 0, 0, 319, 0, 0, 0, 0, 0, 2, 26, 347
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 0, 129, 0, 0, 0, 0, 0, 3, 12, 144
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 2, 8, 77
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-debt.tsx", "TypeScript JSX", 0, 0, 204, 0, 0, 0, 0, 0, 5, 17, 226
