"filename", "language", "MS SQL", "TypeScript JSX", "TypeScript", "JSON", "JSON with Comments", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app.json", "JSON with Comments", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, -2, 3, 29
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, -1, 0, 19
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 230, 0, 0, 0, 2, 4, 236
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, -1, -1, 23
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 6, 8, 78
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 1, 2, 15
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-debt.tsx", "TypeScript JSX", 0, 352, 0, 0, 0, 0, 4, 356
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-group-debt.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 4, 1, 46
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-individual.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 2, 40
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\login.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\signup.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\create-group.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\edit-group.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\edit-individual.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\individual\[id].tsx", "TypeScript JSX", 0, 413, 0, 0, 0, 16, 30, 459
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\profile.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\GradientButton.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 6, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\effects.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\theme.ts", "TypeScript", 0, 0, -4, 0, 0, -7, 2, -9
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\AuthContext.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 2, 4, 37
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ContactsContext.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 9, 4, 42
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\DebtContext.tsx", "TypeScript JSX", 0, 307, 0, 0, 0, 24, 33, 364
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\GroupsContext.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 1, 0, 6
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ThemeContext.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 2, 50
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\phoneUtils.ts", "TypeScript", 0, 0, 6, 0, 0, 11, 2, 19
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\contactsService.ts", "TypeScript", 0, 0, 130, 0, 0, 22, 20, 172
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\debtService.ts", "TypeScript", 0, 0, 367, 0, 0, 81, 63, 511
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\groupService.ts", "TypeScript", 0, 0, 26, 0, 0, 2, 6, 34
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\notificationService.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 8, 54
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package-lock.json", "JSON", 0, 0, 0, 290, 0, 0, 0, 290
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260522000000_profiles_email.sql", "MS SQL", 38, 0, 0, 0, 0, 19, 9, 66
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260522000001_mirror_contact_rpc.sql", "MS SQL", 48, 0, 0, 0, 0, 20, 7, 75
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260523000000_debt_accept_decline_rls.sql", "MS SQL", 10, 0, 0, 0, 0, 15, 2, 27
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260523000001_contacts_realtime.sql", "MS SQL", 1, 0, 0, 0, 0, 12, 2, 15
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000000_partial_payments.sql", "MS SQL", 47, 0, 0, 0, 0, 20, 12, 79
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000001_debts_payments_realtime.sql", "MS SQL", 2, 0, 0, 0, 0, 7, 2, 11
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000002_payments_client_request_id.sql", "MS SQL", 9, 0, 0, 0, 0, 7, 3, 19
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000003_payments_idempotency_enforced.sql", "MS SQL", 32, 0, 0, 0, 0, 6, 6, 44
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000004_pending_debt_edit_cancel_rls.sql", "MS SQL", 21, 0, 0, 0, 0, 7, 4, 32
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000005_payments_borrower_only_rls.sql", "MS SQL", 13, 0, 0, 0, 0, 6, 3, 22
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000006_debts_client_request_id.sql", "MS SQL", 19, 0, 0, 0, 0, 1, 5, 25
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000007_profiles_expo_push_token.sql", "MS SQL", 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000008_contact_invites.sql", "MS SQL", 51, 0, 0, 0, 0, 1, 10, 62
"Total", "-", 293, 1715, 594, 295, 2, 292, 275, 3466
