"filename", "language", "JSON with Comments", "Dotenv", "MS SQL", "TypeScript JSX", "TypeScript", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.claude\settings.json", "JSON with Comments", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.env", "Dotenv", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 20, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app.json", "JSON with Comments", 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 0, 9, 87
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx", "TypeScript JSX", 0, 0, 0, 329, 0, 0, 0, 0, 1, 23, 353
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx", "TypeScript JSX", 0, 0, 0, 450, 0, 0, 0, 0, 2, 21, 473
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx", "TypeScript JSX", 0, 0, 0, 344, 0, 0, 0, 0, 1, 25, 370
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx", "TypeScript JSX", 0, 0, 0, 193, 0, 0, 0, 0, 9, 20, 222
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 3, 10, 92
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-debt.tsx", "TypeScript JSX", 0, 0, 0, 556, 0, 0, 0, 0, 5, 21, 582
"c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-group-debt.tsx", "TypeScript JSX", 0, 0, 0, 237, 0, 0, 0, 0, 9, 20, 266
